continent	country	std.error	intercept	slope
Africa	Algeria	0.0221270703721839	NA	0.56927972027972
Africa	Algeria	0.756269040308888	42.2364149184149	NA
Africa	Angola	0.0235320029490744	NA	0.20933986013986
Africa	Angola	0.804287462709682	31.7079741258741	NA
Africa	Benin	0.0196465189747694	NA	0.334232867132867
Africa	Benin	0.67148763033435	38.9200470862471	NA
Africa	Botswana	0.102225189129595	NA	0.0606685314685308
Africa	Botswana	3.49389884779415	52.8077783216784	NA
Africa	Burkina Faso	0.0342372780657296	NA	0.363974825174825
Africa	Burkina Faso	1.17017720782899	33.9567426573427	NA
Africa	Burundi	0.0269400018269628	NA	0.154134265734266
Africa	Burundi	0.920767593038841	40.2703724941725	NA
Africa	Cameroon	0.0542422290272891	NA	0.250146853146853
Africa	Cameroon	1.8539154890677	40.7491678321679	NA
Africa	Central African Republic	0.0589471848601005	NA	0.183905594405594
Africa	Central African Republic	2.01472360204994	38.4417016317017	NA
Africa	Chad	0.030630532771111	NA	0.253244055944055
Africa	Chad	1.04690423238672	39.3028836829837	NA
Africa	Comoros	0.00800529187658046	NA	0.450390909090909
Africa	Comoros	0.273608494168517	39.0952181818182	NA
Africa	Congo, Dem. Rep.	0.0406328120721517	NA	0.0939153846153843
Africa	Congo, Dem. Rep.	1.38876666788603	41.7732461538462	NA
Africa	Congo, Rep.	0.0593146508638238	NA	0.195095804195804
Africa	Congo, Rep.	2.02728302167972	46.7465904428905	NA
Africa	Cote d'Ivoire	0.0656548725701803	NA	0.130556643356643
Africa	Cote d'Ivoire	2.24398199287473	44.5847456876457	NA
Africa	Djibouti	0.0188427353932257	NA	0.367403496503496
Africa	Djibouti	0.644015550768218	35.5423468531469	NA
Africa	Egypt	0.0173802124956925	NA	0.555454545454545
Africa	Egypt	0.594028780285594	39.8570909090909	NA
Africa	Equatorial Guinea	0.00549728455811021	NA	0.310170629370629
Africa	Equatorial Guinea	0.187888683279699	33.8099664335664	NA
Africa	Eritrea	0.0250324774538621	NA	0.37469020979021
Africa	Eritrea	0.855571360426676	34.9458888111888	NA
Africa	Ethiopia	0.0175181068995266	NA	0.307185314685314
Africa	Ethiopia	0.598741797720683	35.4137832167832	NA
Africa	Gabon	0.0678042948673951	NA	0.446732867132867
Africa	Gabon	2.31744592237787	38.0418804195804	NA
Africa	Gambia	0.0191927743712217	NA	0.581825874125873
Africa	Gambia	0.655979341613863	27.2367200466201	NA
Africa	Ghana	0.0129331751129145	NA	0.321742657342657
Africa	Ghana	0.442035920990532	42.8492582750583	NA
Africa	Guinea	0.0200011288367107	NA	0.424830769230769
Africa	Guinea	0.68360764692324	30.7073256410257	NA
Africa	Guinea-Bissau	0.0107622110215638	NA	0.271753146853147
Africa	Guinea-Bissau	0.367835726283562	31.1935321678322	NA
Africa	Kenya	0.0732911619546058	NA	0.206507692307692
Africa	Kenya	2.50497855261543	46.5890230769231	NA
Africa	Lesotho	0.0992440896718811	NA	0.0955657342657339
Africa	Lesotho	3.39200947934053	47.1878941724942	NA
Africa	Liberia	0.0296503211027043	NA	0.0959937062937062
Africa	Liberia	1.01340211370148	39.6444356643357	NA
Africa	Libya	0.0257543428991466	NA	0.625535664335664
Africa	Libya	0.880243604802221	40.8508645687646	NA
Africa	Madagascar	0.00936013025051905	NA	0.403727972027972
Africa	Madagascar	0.319914774195548	35.8606081585082	NA
Africa	Malawi	0.032331717966511	NA	0.234225874125874
Africa	Malawi	1.10504811105988	36.4419200466201	NA
Africa	Mali	0.00805472654941243	NA	0.37680979020979
Africa	Mali	0.275298094822909	32.2976111888112	NA
Africa	Mauritania	0.00681591273461276	NA	0.446417482517482
Africa	Mauritania	0.232957354766435	39.1327675990676	NA
Africa	Mauritius	0.0291048040562048	NA	0.348453846153846
Africa	Mauritius	0.994757184829786	54.6738615384616	NA
Africa	Morocco	0.0126599492454442	NA	0.542472727272727
Africa	Morocco	0.432697483452093	41.6058878787879	NA
Africa	Mozambique	0.0383287614912761	NA	0.224485314685315
Africa	Mozambique	1.31001778281842	33.7571832167832	NA
Africa	Namibia	0.0829686269697274	NA	0.231163636363636
Africa	Namibia	2.83573933822803	46.6720060606061	NA
Africa	Niger	0.0365231644556177	NA	0.34210909090909
Africa	Niger	1.24830526894408	34.4664484848485	NA
Africa	Nigeria	0.0254220636615988	NA	0.208065734265734
Africa	Nigeria	0.868886814415243	37.4433941724942	NA
Africa	Reunion	0.0272533942862582	NA	0.459880419580419
Africa	Reunion	0.931478862558249	53.0777776223777	NA
Africa	Rwanda	0.10968600899828	NA	-0.0458314685314688
Africa	Rwanda	3.74889813089405	42.8336116550117	NA
Africa	Sao Tome and Principe	0.0233152618607773	NA	0.340682517482517
Africa	Sao Tome and Principe	0.796879587555635	47.8461990675991	NA
Africa	Senegal	0.0155935930600406	NA	0.504699999999999
Africa	Senegal	0.532964891425899	35.7372666666667	NA
Africa	Sierra Leone	0.0137887937636179	NA	0.214034965034965
Africa	Sierra Leone	0.471279643044732	30.4551351981352	NA
Africa	Somalia	0.031160539930056	NA	0.229573426573426
Africa	Somalia	1.06501905729169	34.2162505827506	NA
Africa	South Africa	0.0793485993435143	NA	0.16915944055944
Africa	South Africa	2.71201239323628	49.0029631701632	NA
Africa	Sudan	0.0107721042665355	NA	0.382774825174825
Africa	Sudan	0.368173862094333	37.1086426573426	NA
Africa	Swaziland	0.111121365377603	NA	0.0950748251748249
Africa	Swaziland	3.79795639180401	46.1977093240093	NA
Africa	Tanzania	0.0306837985592687	NA	0.174688111888112
Africa	Tanzania	1.04872477463717	42.759034032634	NA
